id;description;DBO
876578032380621;Der Theaterplatz wird doch zur Stunde von Asylbewerbern mit einem Protestcamp belagert. Aufruf an die Bevölkerung: spendet Decken, Isomatten, warme Kleidung etc. Wogegen protestieren sie denn eigentlich? Für bessere Unterkünfte in Gemeinden und Städten, die mit der riesigen Zahl einfach hoffnungslos überfordert sind? Für schnellere Bearbeitung ihrer Asylanträge (wofür wir ja auch auftreten), wo die entsprechenden zuständigen Behörden hoffnungslos unterbesetzt sind? Für schnellere Erteilung einer Arbeitserlaubnis? Ich wäre dafür, dass sie auch für allgemein nützliche Tätigkeiten mit herangezogen werden. Zum Beispiel für Ordnung und Sauberkeit in Asylantenunterkünften und den Anlagen rundherum sorgen. So wie Alg2 Empfänger in Wohngebieten. Reguläre Arbeitserlaubnis nach Asylbewilligung. Oder protestieren sie gegen die langen Rückführungszeiten nach Ablehnung des Asylantrages? Ich bin ja geneigt, noch paar warme Klamotten hin zu bringen, aus reiner Menschlichkeit und Nächstenliebe. Aber wenn ich wüsste, dass es ankommt,  würde ich es lieber einem Menschen spenden, der gerade in einem libanesischen Flüchtlingslager hockt. Denen geht's viel beschi......, als den Menschen, die bis Deutschland gekommen sind.;nothing
874464865925271;Gut Ding will Weile haben !;nothing
1064327493605673;von Morgens bis Abends nur noch Sondersendungen über Flüchtlinge, zum kotzen, ich glaube inzwischen sind mehr Deutsche traumatisiert als Flüchtlinge.;nothing
862015783836846;Und es ist auch nötig, dass hier etwas passiert. Dieses hohle Geschwafel ist nicht mehr ertragbar. Leute wacht auf und kommt am 9.2., jeder ist wichtig, der gegen diese Staatsmachenschaften demonstriert.;criticism
982652298439860;"Genau Ungarn soll doch die Panzer auffahren müssen sich schützen 
Daheim hauen sie ab vor Gewalt und da in Ungarn wollen sie die Grenze niedermachen hätten sie mal lieber ihre Kraft zu Hause abgerufen und ihr Land verteidigt";nothing
977139848991105;Ihr seid doch nicht dicht glaubrihr wirklich auf eine gerechte Verteilung der Flüchtlinge?;criticism
862052523833172;Habe beim Gassi gehen mit meinem Hund,eine Ratte gesehen,welche auf der rechten koerperseite,kein fell mehr hatte.nun bewegt mich die frage ,ist das arme Tier,rechtsrattikahl ???;nothing
982648271773596;"Danke Anke für deinen Fachmännischen Kommentar!
Einfach mal die .........  Halten bevor man so einen Mist postet!";nothing
1069076336464122;Volker beck.  Komm zurück! Der merkt ja noch weniger.....     alter schwede....;nothing
876357605735997;Gitta,  Flugblätter und an alle öffentlichen Plätzen hängen, wenn ihr spazieren gehen wollt.;nothing
1007200915984998;"Igor Issupow noch effektiver ließe sich nach dem ""Australischen Modell"" das Geschäft der Schlepper ""versauen"". Heißt: Flüchtlinge bei Ankunft oder bereits noch auf See, wieder sicher in ihre Heimathäfen zurückbegleiten, durch z. B. die Bundesmarine. Das Schleppermodell hätte in kürzerster Zeit seine Wirkung verloren. Und so manch Schlepper hätte dann mehr zu verlieren, als die zuvor erhaltenen Scheinchen.";nothing
1007129782658778;LÄUFT!;nothing
855947431110348;Ihr seit das Volk ???????????? ihr seit ein Witz ??????????????;nothing
1063647847006971;Lügenpresse!;nothing
951538211551269;Erinnert mich an Matrix oder Die Insel, da bekommt man echt Angst....;nothing
1063584870346602;"Wahrscheinlich war der Senegalese ein ""Ungläubiger""... Der Moslem folgte also nur einem der 28 Mordbbelastenefehle in Mahomets Kampf...";nothing
882876025084155;Was will ein Moslem aus Marokko bei uns? Da wird kein Moslem verfolgt!!!;nothing
1096049613766794;Das habe ich bereits gemacht und gute Erfahrungen damit gemacht es sind auch sehr nette hilfsbereite Menschen dabei (einfach ein normales Volk wie wir auch!)! naja das kommt mir einfach vor und hört sich so gut an das sie ihr eigenes Land aufbauen sollen. Aber wen sollen sie Unterstützen das es zu einer guten Lösung kommt? es gibt dort so viele Kriegsparteien das da normale Leute einfach irgendwo dazwischen stehen würden und keine Chance hätten. Also lasst uns Lieber eine vernünftige Lösung suchen mit der alle Leben/ überleben können.  P.s. in jedem Krieg gibt es Kriegsflüchtlinge das ist normal es ist nur die Frage wie man damit umgeht. Achso die Forderungen der Flüchtlinge sind in erster Linie leben/ überleben und das kann man doch gewährleisten!!;nothing
1063659917005764;"Hoppla, die Länder mit dem guten Schnitt liegen alle auf der ""rechten"" Seite. Je ""linker"" desto schlechter wird es. Wie im wahren Leben...";nothing
887994801238944;Frankreich zeigt Flagge...weiter so ?? und Erfolg Le Pen;nothing
1111454178893004;leben wie die Made im Speck.;nothing
1012427738795649;Da hast Du recht, hat mir gestern Abend eine erheiternde Gutenachtlektüre bereitet, Stoff für mindestens 10 Comedys, wenn es auf der anderen Seite nicht so unsagbar traurig wäre.;nothing
1064088330296256;Und genau darum wollen die Ossis keine Einwanderer. Weil, die sind einfach klüger!!!!!! Die können weiter denken, als von jetzt auf gleich.;nothing
991237490914674;Nächste Woche bin ich auch dabei...;nothing
862455193792905;Na und? Denkst Du da kommen weniger? ?;nothing
1013807478657675;Übrigens, wer, wie oben geschehen, ethnopluralistische Videos teilt, muss es auch aushalten, als rassistisch bezeichnet zu werden.;nothing
1012235615481528;Ich bin dieses jahr auf dem striezelmarkt mit einem Stand für salafistische bartpflegeprodukte vertreten. Macht mir nicht das Geschäft kaputt!!!;nothing
985401894831567;Und jetzt auf  nach  Berlin!;nothing
945845948787162;Nur das verstehen Sie,,,Keule raus und gut is!!! Das ist ein Pack,,unglaublich!!!!!;nothing
1035143686524054;Wir müssen dort hin!;nothing
945887352116355;i denk mal die kommen alle hier her um Chemielaborant,Techniker oder Ingenieur zu werden!!!!! :-D;nothing
982723491766074;Vielleicht fangen die sogenannten Gutmenschen auch endlich mal an zu überlegen.;nothing
1111622305542858;Wie meinen sie das,bzw auf was genau bezogen?;nothing
1063659983672424;Wenn in vielen Schulklassen wie im Westteil nur noch von 25 Schülern 2 bis 3 deutsche Kinder sind was soll dabei rauskommen? Und viele sind nur in der Schule weil sie müssen!;criticism
1063767293661693;Charon Ritter Bist Du jetzt traurig ???;nothing
1035152546523168;Viele Grüße nach Sachsen und Danke für das was ihr jeden Montag auf die Straße bringt. Wir gehen am 15.01.2016 (erstmalig) in Paderborn, Prov. Westfalen, auf die Straße.;nothing
1056945047677251;AFD!  ??;nothing
1111344008904021;Gar kein Geld sollten die bekommen, wozu auch, die bekommen  doch eh schon alles in den Arsch geschoben.;criticism
1010223125682777;Hut ab, Frau Festerling! Ich unterschreibe jeden Ihrer Punkte! Im Bezug auf uns Deutschen, wären diese sogar Gesetzeskonform!;nothing
1096058453765910;schau Dir die Kinder an. Die werden benutzt! Die sollte man rausholen, aber die Eltern dort lassen;nothing
1069099443128478;das heisst Grundgesetz, für die Bundesrepublik Deutschland, Deutsches Grundgesetz ist schon umgangssprachlich https://de.wikipedia.org/wiki/Grundgesetz_f%C3%BCr_die_Bundesrepublik_Deutschland - du hättest eine genauso lächerliche Figur abgegeben, wie dieser Journalist;nothing
1134077609963994;"Habe Frau Merkels ""Flüchtlinge"" persönlich kennengelernt. Davor konnte ich sie noch etwas besser leiden. Vor allem geben die in persönlichen Gesprächen zu, dass sie gar nicht vor Krieg und Verfolgung fliehen, sondern nur der Spur des Geldes folgen. Ohne Tante Merkels Einladung hätten sie sich sichere Orte in Syrien gesucht, wobei alle mit denen ich sprechen konnte sogar Verwandte in IS-freien Gebieten hatten.";criticism
945866075451816;Und nach einer Weile werden noch die Eltern,Oma und Opa und die 10 Geschwister nachgeholt......;nothing
1069237866447969;Das Gestammel kann man sich mehr Anhoeren !!!;nothing
855163504522074;http://jungundstark.de/#site;nothing
982682408436849;Juergen Weidner wir geben denen schon was sie brauchen und holen tun wir uns da von deinesgleichen;nothing
1120456831326072;Ist das nicht die Bürgermeisterin, die gegen den Drogenhandel im Görlitzer Park die Büsche abholzen liess? Durch solche Leute können diese Zustände erst entstehen!;criticism
1056478224390600;the question is this.....do you, as a german, believe these people flooding into your country will be thankful of your generosity? the answer is NO! they will say thankyou to your face sure...but it will not be genuine.....they see us all as infidel fools there to be taken advantage of.;nothing
1052421531462936;Ich finde auch, Herr Kroll hat es vernünftig formoliert. Was dahinter steckt, wissen wir nicht.;nothing
876531075718650;Sachsen wird langsam mit diesen Zeug geflutet...;nothing
935332299838527;Ibrahim, hängt die Kriminalität nicht auch mit dem sozialen Status zusammen? Haben Sie da Statistiken?;nothing
982737488431341;Wenn die hier nicht bekommen was sie haben wollen wird es hier genau so werden;nothing
977215008983589;https://www.facebook.com/norbert.puskas.77/videos/1148970678465209/;nothing
1057770017594754;"127  Scheinasylis, potentielle Schläfer des IS  ""massenweise"" abgeschoben , vermutlich von ""NAZIS"".... Manchmal machen NAZIS auch etwas richtig gut ...";criticism
1043675839004172;"Massiv von zwei nordafrikanischen Flüchtlingen belästigt wurde heute am frühen Morgen (2:30 Uhr) eine 20-jährige Frau in Soest. Auf ihrem Weg auf der Marktstraße in Richtung Markt wechselte sie die Straßenseite, um einer größeren Gruppe junger Männer auszuweichen. Dennoch kamen drei aus der Gruppe auf sie zu, versperrten ihr den Weg und versuchten, sie zu begrabschen.

Die junge Frau wehrte sich, rief laut um Hilfe und konnte flüchten. Zeugen kümmerten sich um die 20-Jährige, machten sogleich auch eine in der Nähe befindliche Streifenwagenbesatzung auf zwei der Tatverdächtigen aufmerksam. „Dabei handelte es sich um zwei Nordafrikaner im Alter von 20 und 26 Jahren, die in einer zentralen Unterbringungseinrichtung in Soest wohnen“, schreibt die Polizeipressestelle des Kreises Soest offen in ihre Mitteilung…

http://rundblick-unna.de/20jaehrige-in-soest-massiv-belaestigt-zwei-taeter-angezeigt-weitere-zeugen-gesucht/";nothing
1111624782209277;"Dresden hat mal wieder Gesicht gezeigt.
Das Beweist mal wieder, wir lassen uns nicht vom MERKEL REGIME unterkriegen, NIEMALS.";criticism
876331895738568;Zuwanderung, wie wir sie heutzutage so sehen, ist schädlich und wird Deutschland auf die Dauer finanziell nicht verkraften. Die Wahrheit ist, dass die von den Geldern der Steuerzahler leben und das für immer. Da brauch man nichts schön reden oder von Bereicherung! Wenn wirklich nur Fachkräfte kommen würden, dann wäre das ja ok.;criticism
861998640505227;aber nicht mit Worten oder einem Plan sondern so http://www.denken-macht-frei.info/hagida-liveticker-der-haz-beweist-gewalt-nur-von-linken-gegendemonstranten/;nothing
876871122351312;Ich hatte es gestern schon gepostet,  dass wegen PEGIDA mein Motorrad nicht anspringt. Heute erneut versucht. Springt immer noch nicht an. Vielen Dank.  Ich werde morgen pünktlich 18.15 Uhr auf dem Neumarkt stehen und euch mal so richtig die Leviten lesen. Als Disskusionsverstärker bringe ich ne Deutschlandfahne mit. Also PEGIDA zieht euch warm an. ??????;nothing
1105406386164450;Na ich denke ned......!!!!!!!;nothing
983172088387881;Michael Schmidt das sagst du nur, dank der Jahrelangen Gehirnwäsche. Ich bin nach 1945 geboren, ich schulde der Welt einen sch..... auf Deutsch gesagt. Warum helfen wir denen nicht in Ihrem Land? So wie in anderen Ländern Brunnen gebaut werden? Die USA konnte in kürzester Zeit riesige Länder erobern und Krieg beenden, aber jetzt klappt das nicht mehr? Schon mal daran gedacht, dass potentieller Terroristen mit dem Strom eingeschleust werden? Und das ist keine Fantasie, sondern traurige Realität. Sicher wird jeder gerne einem Notleidenden helfen, aber viele Menschen reisen durch wirklich sichere Länder mit nur einem Ziel, kostenlose Logie und Unterkunft auf Kosten der dummen Deutschen... leider wahr;criticism
1056530921051997;widerliches Fratzenvolk,einfach nur zum kotzen;nothing
1012462198792203;Ein paar ist gut ??????;nothing
1096143320424090;Schneeschiber vorneweg und niemand wird verletzt, wenn man sich langsam rantastet ??;nothing
1105481086156980;Na am besten gleich neben der Frauenkirche...;nothing
982653531773070;sehr friedlich, muss man schon sagen...lol. und die wollen alle hierher. na da;nothing
1012292532142503;Jo ! Die haben null Peilung, aber zum Glück gibt es Lexika (uuups was das denn) !!??;nothing
1035439783161111;"Efe Zehir!
Was soll dein Kommentar? 
Erklär das mal bitte etwas genauer!";nothing
960894583948965;http://www.presseportal.de/blaulicht/pm/110972/3089691 Einzelfall: 79jähriger wird von Südländer bereichert;nothing
1064419403596482;"alles schön und gut und richtig gut,mit einem kleinen Schönheitsfehler; Honecker ist Saarländer und nicht Preuße,nichts desto Trotz gild das Motto "" Walzt uns platt,mäht uns nieder,wir stehen auf da immer wieder !!!!!!! """;nothing
874460722592352;PEGIDA Orga Team , muss man sich Sorgen machen??;nothing
977014839003606;"(...)Jahr der offenen Tür in der “Festung Europa”(...)

Die ""gerechte Verteilung"" der Asylforderer auf alle EU Staaten, ein Gedanke, der von den #Politikdarstellern nicht zuende gedacht wurde.

Wie er zuende gedacht aussieht, das lest ihr im Artikel, bzw. schon im Auszug daraus. (y)

Denn die #Fachkräfte wollen eben nach #Germoney, Schweden und Co., zu denen, die so dämlich sind, den sogenannten Flüchtling zum heiligen Gral zu erheben, ""Flüchtling, Flüchtling über alles"" anzustimmen und dazu ihren Namen zu tanzen.

Unkontrolliert importieren wir die zukünftigen, sprenggläubigen Surensöhne, so dass den ansässigen #Salafisten, vor Freude über die gesandten neuen Brüder, glatt die Beschneidungsnarbe platzt. 

Dazu verlassen gleichzeitig jedes Jahr zehntausende Leitungsträger das Land, während die bunte Regierung ganze Kohorten von zukünftigen Transferleistungsempfängern importiert, das wird nicht mehr lange gutgehen.

Ein Auszug:

(...)Dass Flüchtlinge, die nun in Budapest, Calais oder in Traiskirchen sitzen und die nach Deutschland oder nach England wollen, die laut dem Plan einer „gerechten Verteilung“ aber künftig nach Bulgarien, Polen oder nach Litauen sollen, dies ohne erbitterten Widerstand akzeptieren werden, ist deshalb schlicht unmöglich.

Wer das wirklich exekutieren will, wird von der Polizei bewachte Deportationszüge durch Europa rollen lassen müssen, in denen zehntausende, wenn nicht hunderttausend Menschen gegen ihren Willen von A nach B verbracht werden. Und diese Migranten dann anschließend dort, wo sie um keinen Preis hinwollen, auch mit physischer Gewalt und in Lagern festhalten müssen, denn sonst sind sie flugs wieder dort, wo sie herkamen. Soziale Leistungen oder Arbeitserlaubnis an bestimmte Orte zu knüpfen wird genauso scheitern. Oder wollen wir diese Menschen im Zweifelsfall verhungern lassen, wenn sie sich nicht „gerecht verteilen“ lassen?

Migranten in Länder zu verbringen, die diese Migranten nicht haben wollen und in die diese Migranten auch gar nicht hinwollen – wer das für ein vernünftiges Konzept hält, der muss schon wirklich am Ende seiner gedanklichen Kräfte sein. (“Presse”)(...)

#PEGIDA #AufDieStraße #MontagIstPegidaTag";criticism
876247789080312;Ich suche schon ewig Arbeit und solche beschissenen Ausländer Pakis werden eingestellt. Was is das für ne beschissene Theorie????;nothing
1063481517023604;Was sind denn sie für ein Kasper??;nothing
1012340445471045;"Hallo Lars Deutschmann, prima! ... was verkaufst du eigentlich ... kleine Flammenwerfer? ;-)";nothing
1134084409963314;"Etliche deutsche Frauen haben bereits das Vergnügen gehabt... ;-)";nothing
1035469186491504;Liza Bauer ich habe dir gesagt dass du dich nicht bei solchen Seiten rumtreiben sollst ??????;nothing
1010182729020150;Rainer Grüner hast wohl Angst, von den Gutmenschen wegen eines Vertippers der Dummheit überführt zu werden? Sie suchen eben krampfhaft nach Argumenten, weil sie keine mehr haben. Da braucht man sich nur mal vertippen und 5 solche Idioten ziehen sich dran hoch.;nothing
882702818434809;Bestimmt wenigstens mit der rechten Hand.;nothing
935279049843852;"Was heißt denn hier ""krallt sich""?? Was heißt denn hier ""Top-Salafist""? Die Journalisten spinnen wirklich. Beide Begriffe transportieren eine unterschwellige verständnisvolle Wertung, die im Kampf gegen den Terror nichts zu suchen hat!!";nothing
1012403742131382;Mir geht Pegida so langsam auf den Nerv.Immer das gleiche Geschwätz am Anfang war das ok aber jetzt ist das nur noch was für dumme!;nothing
1063581083680314;Freue mich sehr wenn die sich untereinander abstechen.Leider sind die Knast -kosten für den Täter höher als das spätere Hartz 4 was wir bei dem  Opfer sparen...;nothing
991265187578571;Ich bin stolz auf jeden der für unser altes Deutschland auf die Straße geht. Ich hatte schon Alpträume von diesem ganzen Irrsinn der sich in Deutschland und an seinen Grenzen abspielt.;criticism
1096018740436548;Kriminelle und Invasoren....;nothing
862037903834634;Wir 2 sind doch eh bald islamisiert... dann kämpfen wir für dieselbe Sache :);nothing
1105528599485562;Nein;nothing
961103277261429;Sehr gut erkannt, wie mit Sprache manipuliert wird - bravo!!;nothing
1052639064774516;Sehr schön formuliert!  !;nothing
935384936499930;"Das ist interessant. Hier in Kiel stehen bei solchen Fällen nur die Dynamo-Fans am Pranger. Es wird allenfalls zusätzlich berichtet, dass der DFB gegenüber Dynamo eine Strafe ausspricht, während  der Verein selber das Verhalten der Fans aufs Schärfste verurteilt. Dass die Lokalpresse da anders vorgeht, erscheint mir aber logisch. 

Die von mir oben genannten Fangruppierungen dürfte aber auch die Dresdner Lokalpresse nicht pauschal verurteilen, oder? Ich habe aber den Eindruck, dass das beim Thema Islam geschieht. 

Der von Ihnen ins Spiel gebrachte Faktor Lokalpresse, ändert meine Überlegungen etwas. Wenn man davon ausgeht, dass der Verein mehr tun könnte, als sich zu distanzieren oder Stadionverbote auszusprechen, steht er wohl zu Recht mit am Pranger. Wenn man davon ausgeht, dass die Fankultur eine nicht mehr zu stoppende Eigendynamik entwickelt hat, könnte man ihn sogar bedauern. Meine persönliche Meinung wäre wohl irgendwo dazwischen. Aber das ist gerade nicht so wichtig:

Die Erkenntnis, dass zumindest in der Lokalpresse der Verein am Pranger steht, hat mich dazu gebracht, die Strukturen zu betrachten. Zuerst habe ich mich gefragt, wer der Verein im Islam eigentlich ist? Gibt es im Islam so etwas wie den Verein, der sich vom Fehlverhalten seiner Fanclubs distanzieren oder aktiv dagegen vorgehen kann? Oder noch globaler:

Die FIFA passt laufend die Spielregeln an. Der DFB überwacht die Einhaltung der Spielregeln und packt nationale Auflagen dazu. Dann erst kommen Verein, Fanclubs und Fans. 

Beim Islam fehlen mir Entsprechnungen für FIFA, DFB und Verein. Ich sehe da nur Fanclubs und Fans. Bitte um Korrektur, falls nötig. 

Das bringt mich einerseits zu der pegida-freundlichen Erkenntnis, dass „der Islam“ in der Tat eine Gefahr sein kann, da er aufgrund der fehlenden Strukturen nicht zu kontrollieren ist. Andererseits zu  der pegida-kritischen These, dass eine generelle kulturelle Islamisierung Deutschlands aufgrund dieser fehlenden Strukturen nicht zu befürchten ist. 

Abschließend: Gibt es „Lokalpresse“ im Islam oder sind das „Clubzeitungen“ der Fanclubs?";nothing
991270840911339;https://www.change.org/p/wir-fordern-den-r%C3%BCcktritt-der-bundeskanzlerin-dr-a-merkel-und-sofortige-neuwahl-der-bundesregierung-resignation-of-the-german-chancellor-dr-a-merkel-and-immediate-reelection-of-the-german-government?recruiter=385879916&utm_source=share_petition&utm_medium=facebook&utm_campaign=share_facebook_responsive&utm_term=mob-xs-share_petition-no_msg;nothing
1069091096462646;Bitte erst informieren,  vor dem Posten. Wieso wir ein Grundgesetz haben steht hier:  http://www.bpb.de/geschichte/deutsche-geschichte/grundgesetz-und-parlamentarischer-rat/39014/warum-keine-verfassung  - und das Baden Württemberg sehr wohl eine Verfassung hat steht hier: https://www.lpb-bw.de/bwverf/bwverf.htm;nothing
1111638898874532;wo sie gerade genau ist weiß ich nicht, aber auftreten wird sie wieder am 16.5. auf der veranstaltung festung europa in dresden, die ed ja heute erwähnt hat.;nothing
1096372573734498;einfach die lkws vorran und einfach drüber bügeln. wer eine erpressung versucht ist ein straftäter und hat so oder so keinerlei ansprich mehr auf irgdendwas...;nothing
977043832334040;Ich verstehe nicht warum kann jemand zum Sachen schreiben wann er spricht kein ungarisch. Warum schreibt etwas?;nothing
985352751503148;Auf Siggi ist VERLASSS !!!!!!!!!! (y) (y) (y);nothing
876531922385232;Die Polen sind noch nicht so verblödet.;nothing
882698075101950;1:0 für Deutschland;nothing
985373891501034;(y) STARK (y);nothing
982649181773505;??;nothing
1095905943781161;Da hätte ich aber aufgeräumt !!!;nothing
1010213819017041;Andreas Rademacher, lass ihn.;nothing
1013018932069863;"das Pack,die Mischpoke,die Dunkeldeutschen,die welchen man nicht vertrauen darf,denen man nicht folgen soll,werden immer mehr.
Die Reihen der selbsternannter Zivilgesellschaft ,die Guten,die Ehrenhaften derden immer löchriger,hatten wir 89 schon mal,irgendwie.";nothing
1055078487863907;Manche werden nie wach.;nothing
882716331766791;Ach, schon wieder? Die erledigen sich ja stündlich;nothing
1095905150447907;an besten mir so ein Schneeräumer :);nothing
945463475492076;Nicht irritieren lassen,Seite wird gefunden! Mißbrauch vom Feinsten!!   https://mopo24.de/#!nachrichten/thueringens-steuerzahler-anti-nazi-proteste-8459;nothing
1096663233705432;z u r ü c k !!!;nothing
862019960503095;Mein Sohn hat Dominikanische Wurzeln, Liebe Politminuskrusten, Gutmenschen, Linksnazis&Grünfaschisten -bin ich jetzt Nazi? ? ? ? ? ? ? ? ? ?? ?? ?? ?? ?? ??;nothing
982689988436091;yo, da bin ich auch manchmal :-D;nothing
982644331773990;Die greifen allen ernstes eine Grenze an. Die sollen hier her kommen oder was??? Sollen sie ruhig kommen. Wenn mir einer blöd kommt hau ich ihn um. Ungarn halte durch und schick das pack zur Hölle.;nothing
855009681204123;Deswegen kannst du auch so gut unsere Sprache. .;nothing
982702218434868;Lisa Sander und Du?  Was bist Du? Auf jeden Fall nicht ganz dicht in Deinem Oberstübchen ????????????;nothing
945837395454684;10000 weitere Kriminelle, die unsere Staatskassen belasten :-(;nothing
960862410618849;so gehört sich das! ich bin stolz nationalist zu bin;nothing
